[2023-12-24 10:51:46] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 10:51:55] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 10:52:43] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 10:53:20] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:36:54] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:37:03] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:40:15] INSERT INTO  (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:57:03] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:57:34] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 14:58:35] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:03:48] INSERT INTO footballteams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:25:46] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:26:03] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:28:23] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:29:44] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:31:21] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:32:17] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:32:31] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:35:43] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:39:42] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:39:50] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:40:04] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:41:53] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:47:53] INSERT INTO FootballTeams (name, country, city, coachName, foundationYear, totalPlayers) VALUES (:name, :country, :city, :coachName, :foundationYear, :totalPlayers)
[2023-12-24 15:48:33] INSERT INTO FootballTeams (name, country, city, coach_name, foundation_year, total_players) VALUES (:name, :country, :city, :coach_name, :foundation_year, :total_players)
[2023-12-24 16:46:42] INSERT INTO FootballTeams (name, country, city, coach_name, foundation_year, total_players) VALUES (:name, :country, :city, :coach_name, :foundation_year, :total_players)
[2023-12-24 16:48:43] INSERT INTO FootballTeams (name, country, city, coach_name, foundation_year, total_players) VALUES (:name, :country, :city, :coach_name, :foundation_year, :total_players)
